"Player Name","Shootscore","Year","Shootscore Index"
"Peja Stojaković","269.31191297542614","2004","4.6063106702729835"
"Sam Cassell","264.49786061111513","2004","4.509017041337552"
"Kevin Garnett","224.0294365503743","2004","3.69113648329528"
"Michael Finley","214.4605952530208","2004","3.497746959444518"
"Dirk Nowitzki","209.55947013427794","2004","3.3986935606480677"
"Tracy McGrady","196.43630883034444","2004","3.1334700255178145"
"Jim Jackson","192.76332240638916","2004","3.0592377257475714"
"Jason Terry","191.10266177411972","2004","3.0256752118577115"
"Mike Bibby","184.17115560493147","2004","2.885587124285532"
"Michael Redd","172.59115478314038","2004","2.651551385210521"
"Eddie Jones","172.12673129145156","2004","2.6421652291304056"
"Rashard Lewis","170.06250092238454","2004","2.600446434159633"
"Allan Houston","166.48867079243962","2004","2.528218116678319"
"Jamal Crawford","166.43355155385913","2004","2.5271041381961963"
"Cuttino Mobley","162.49405499648788","2004","2.447485578355262"
"Steve Nash","159.31895233112226","2004","2.3833156779931177"
"Latrell Sprewell","157.63995963245085","2004","2.349382666831696"
"Vince Carter","156.97065065597423","2004","2.3358557057036378"
"Damon Stoudamire","156.76405095331268","2004","2.3316802557318135"
"Ray Allen","152.12591634301356","2004","2.237941984193172"
"Zach Randolph","139.36961234258916","2004","1.9801327594315548"
"Paul Pierce","138.2688481669107","2004","1.9578859425818163"
"Joe Johnson","138.1134721078937","2004","1.9547457397989136"
"Juwan Howard","137.1327509240989","2004","1.9349250324770262"
"Kurt Thomas","132.56655383474435","2004","1.8426406426039028"
"Reggie Miller","131.07839964467644","2004","1.8125645423436396"
"Rasheed Wallace","129.27756694765793","2004","1.7761691035450449"
"Baron Davis","127.93196001363808","2004","1.7489739316142119"
"Stephon Marbury","127.81011641488782","2004","1.7465114312116714"
"Donyell Marshall","127.23009349138273","2004","1.7347889714578244"
"Jermaine O'Neal","126.15021675295087","2004","1.7129642967899927"
"Kirk Hinrich","125.56783478573594","2004","1.7011941599636964"
"Tyronn Lue","124.32242180066618","2004","1.676023941679607"
"Shawn Marion","124.29969103389087","2004","1.6755645451835386"
"Chauncey Billups","122.90842804172775","2004","1.6474466488526602"
"Stephen Jackson","120.79353747170006","2004","1.6047039940604608"
"Voshon Lenard","120.49387017532145","2004","1.5986476164950458"
"Jeff McInnis","119.99009488562129","2004","1.5884661472475794"
"Tim Thomas","118.51512234596117","2004","1.5586564526070474"
"Keith Van","117.54872398301414","2004","1.5391252143460288"
"Clifford Robinson","115.12669213619256","2004","1.4901751303125783"
"Vladimir Radmanović","115.01529552103062","2004","1.4879237669870404"
"Richard Hamilton","111.66623531375916","2004","1.4202381257787475"
"Rafer Alston","111.16649691854961","2004","1.4101382435363436"
"Brent Barry","110.92400028841769","2004","1.4052373045010609"
"Yao Ming","108.31289653078665","2004","1.3524660131062645"
"Ricky Davis","108.08059320868497","2004","1.3477710842790283"
"Jalen Rose","107.28229317213393","2004","1.3316371701340262"
"Kerry Kittles","105.35714198624949","2004","1.2927292125653396"
"Earl Boykins","102.40625375576187","2004","1.2330907618797113"
"Carlos Arroyo","102.34493272612539","2004","1.231851443099629"
"Glenn Robinson","101.65609494507451","2004","1.2179297982161792"
"Shareef Abdur-Rahim","100.72570210729745","2004","1.1991262438149133"
"Tim Duncan","100.40093643273048","2004","1.1925626195247967"
"Hedo Türkoğlu","99.93546929711424","2004","1.1831553710473977"
"Gordan Giriček","99.7052233546658","2004","1.1785020225598448"
"Mike James","99.69842208542528","2004","1.1783645666047158"
"Aaron McKie","99.62742005724135","2004","1.1769295915647675"
"Mike Dunleavy","98.04516412644642","2004","1.1449516632495487"
"James Posey","97.48388134533035","2004","1.133607948121188"
"Morris Peterson","96.87499744026928","2004","1.121302198154082"
"Raja Bell","96.80963755098857","2004","1.1199812526525161"
"Gilbert Arenas","96.68490609697733","2004","1.117460387716955"
"Walter McCarty","95.2577634006666","2004","1.0886173504118053"
"Jason Kidd","94.9349935101551","2004","1.082094061593477"
"Jason Williams","93.95122510230723","2004","1.0622117688412984"
"David Wesley","93.94423092270752","2004","1.062070414102466"
"Kobe Bryant","93.72792341686615","2004","1.0576987661400759"
"Darrell Armstrong","93.28132831880353","2004","1.0486729279341167"
"Antawn Jamison","93.04234725903832","2004","1.043843039766766"
"Richard Jefferson","89.41886847312281","2004","0.9706113061309132"
"Maurice Taylor","89.0840705673755","2004","0.9638449270504479"
"Al Harrington","87.54384767344759","2004","0.9327165006480637"
"Damon Jones","87.20482211716316","2004","0.925864679318221"
"DeShawn Stevenson","86.97129499288062","2004","0.9211450170343738"
"Pau Gasol","86.7980212062716","2004","0.9176430951143808"
"Ronald Murray","84.67714508254937","2004","0.8747794702545422"
"Fred Hoiberg","83.16383079478143","2004","0.8441948758973403"
"Tayshaun Prince","83.1552025059208","2004","0.8440204952568268"
"Tony Parker","83.14778300170198","2004","0.8438705445633731"
"Drew Gooden","82.55091346338098","2004","0.8318076090176819"
"Jason Richardson","82.49994818222751","2004","0.8307775834222199"
"Anthony Peeler","82.4831488426743","2004","0.8304380630794483"
"Gary Payton","82.43740196229032","2004","0.8295135031311544"
"Quentin Richardson","81.79020950480914","2004","0.8164335243434712"
"Elton Brand","81.42233941525726","2004","0.8089987452258519"
"Lamar Odom","80.8623463137831","2004","0.7976810949599049"
"Bobby Jackson","78.92315954522502","2004","0.758489473511144"
"LeBron James","78.76867220558938","2004","0.7553672320479723"
"Anfernee Hardaway","78.3198588682931","2004","0.7462965624757216"
"Desmond Mason","77.51336782215509","2004","0.7299971052524453"
"P.J. Brown","77.48985512589236","2004","0.729521905696575"
"Larry Hughes","77.35663537199329","2004","0.7268294893450589"
"Metta World","77.07133204595897","2004","0.7210634124857764"
"Bruce Bowen","77.02721368343444","2004","0.7201717654350459"
"Brian Cardinal","76.38046731015152","2004","0.7071008021601105"
"Mike Miller","75.3484317652813","2004","0.6862430142192955"
"Steve Francis","75.17165587078438","2004","0.682670313512627"
"Shane Battier","74.89196626654406","2004","0.6770176918723242"
"Jiří Welsch","72.54560239522556","2004","0.629596883254627"
"Chucky Atkins","70.7425661137762","2004","0.5931569092682701"
"Charlie Ward","70.48761359792778","2004","0.5880042325635035"
"Manu Ginóbili","70.26572257275987","2004","0.5835197397842318"
"Zydrunas Ilgauskas","69.57400037588542","2004","0.5695397998799561"
"Carmelo Anthony","68.02176772451385","2004","0.5381686522115985"
"Calbert Cheaney","67.22830966476036","2004","0.5221325960577864"
"Brad Miller","66.2082402006795","2004","0.5015166466629667"
"Derek Anderson","65.83538547831758","2004","0.49398112642782355"
"Kareem Rush","65.51331573644615","2004","0.48747198785067103"
"Corey Maggette","65.22805022889719","2004","0.4817066753157879"
"Brian Grant","63.90495612563791","2004","0.4549664953203446"
"Allen Iverson","63.84993453168376","2004","0.45385449026919533"
"Jamaal Tinsley","63.835318622558965","2004","0.4535590977949705"
"Antoine Walker","62.78855488515238","2004","0.4324036480941491"
"Steve Blake","62.78409579673887","2004","0.43231352840689546"
"Mehmet Okur","61.71947752038832","2004","0.4107972324261903"
"Rasho Nesterović","61.71636774082451","2004","0.41073438272783735"
"Doug Christie","61.2345613437488","2004","0.4009969122417825"
"Rasual Butler","61.21404474075392","2004","0.40058226474571496"
"Wesley Person","60.9174650034937","2004","0.39458828779592475"
"Raül López","60.73480651610613","2004","0.39089669789433945"
"Rodney White","60.3912108021768","2004","0.3839525121304545"
"Andre Miller","59.54202117027747","2004","0.3667901020257498"
"Casey Jacobsen","58.947617034484395","2004","0.354776993100248"
"Devean George","58.33393159762204","2004","0.3423742025490261"
"Anthony Johnson","57.94661993527083","2004","0.334546502659734"
"Alvin Williams","57.669469974200766","2004","0.3289452080681494"
"Juan Dixon","57.099748468739804","2004","0.31743094346234935"
"Mark Blount","56.23293701586485","2004","0.299912390386729"
"Kyle Korver","55.820364805169845","2004","0.2915741662589623"
"Eric Williams","55.35921646811206","2004","0.28225420216332603"
"Vitaly Potapenko","55.09387906493856","2004","0.2768916433680712"
"Nick Van","54.77077617990078","2004","0.2703616246175725"
"Chris Crawford","54.314307528559866","2004","0.26113623855541324"
"Keith Bogans","52.8110323168664","2004","0.23075453732618934"
"Carlos Boozer","52.629822687511776","2004","0.22709222933621812"
"Lucious Harris","52.477076220608055","2004","0.22400517150064017"
"Leandro Barbosa","52.16387163643188","2004","0.21767520076338287"
"Joe Smith","51.87482626553483","2004","0.21183349590989056"
"Amar'e Stoudemire","51.647654786071556","2004","0.20724228336067352"
"Antonio Daniels","51.339681096000724","2004","0.20101803076513378"
"Trenton Hassell","51.09385725871879","2004","0.19604984774633205"
"Eddie House","50.86077096469026","2004","0.1913390947912398"
"Kenyon Martin","50.449663485280134","2004","0.18303047337888548"
"Chris Bosh","50.36152921627458","2004","0.18124924994876837"
"Eddie Robinson","49.7680548942522","2004","0.169254932874526"
"Jamal Mashburn","48.630393096206205","2004","0.1462624025784945"
"Stromile Swift","48.32544471993881","2004","0.14009929259967963"
"Brian Skinner","48.117687895067746","2004","0.13590045679605173"
"Darius Miles","47.01534903523916","2004","0.11362181504625042"
"Shaquille O'Neal","46.89080012361588","2004","0.11110463935418222"
"Eddy Curry","46.8846039404331","2004","0.11097941239323958"
"Jarvis Hayes","45.39914813216263","2004","0.08095784734311919"
"Howard Eisley","44.727085999058325","2004","0.06737524398704557"
"Steve Smith","43.653231801482264","2004","0.045672286909910834"
"Nazr Mohammed","43.645765375185704","2004","0.04552138790537223"
"Stanislav Medvedenko","43.4370015452686","2004","0.04130220018866339"
"Wally Szczerbiak","43.333238247813355","2004","0.03920510879959365"
"Antonio Davis","43.03720046304852","2004","0.033222084893309405"
"Kenny Thomas","42.84713427580421","2004","0.02938078286842647"
"Marko Jarić","42.76602084437609","2004","0.02774145294390108"
"Bryon Russell","41.11339865398362","2004","-0.005658601312782672"
"Jon Barry","41.00927204068819","2004","-0.007763035438047768"
"Bonzi Wells","41.00316346861439","2004","-0.007886491748801593"
"Corliss Williamson","40.64082760492313","2004","-0.015209422287182157"
"Dwyane Wade","40.5298729575002","2004","-0.017451853295007952"
"Derek Fisher","40.350064996642814","2004","-0.021085833089866113"
"Austin Croshere","40.171317601101165","2004","-0.024698378500450358"
"Vin Baker","39.105229105862435","2004","-0.046244388102889444"
"Lorenzen Wright","38.60544234160925","2004","-0.05634524790004892"
